timestamp [s],position_lat [degrees],position_long [degrees],distance [m],enhanced_speed [m/s],enhanced_altitude [m],heart_rate [bpm],cadence [rpm],temperature [C],fractional_cadence [rpm]
0,55.74739946052432,12.55748150870204,0.0,1.596,13.6,88,60,27,0.0
1,55.74740331619978,12.557498775422573,1.13,1.596,13.6,88,60,27,0.0
2,55.747411865741014,12.557509420439601,2.28,1.614,13.6,88,60,27,0.0
5,55.74747271835804,12.557492488995194,9.01,1.698,13.6,88,85,27,0.5
12,55.747640021145344,12.557495925575495,27.71,2.631,13.4,92,80,27,0.5
13,55.7476697769016,12.557490393519402,31.02,2.641,13.4,91,79,27,0.5
15,55.74770716018975,12.557477317750454,35.26,2.781,13.4,96,79,27,0.5
17,55.74775694869459,12.557455943897367,40.94,2.837,13.6,100,78,27,0.0
19,55.74780221097171,12.55745368078351,45.98,2.781,13.8,104,80,27,0.5
20,55.74782500974834,12.557456949725747,48.52,2.781,13.8,105,80,27,0.5
23,55.74790623039007,12.557458207011223,57.55,2.79,13.8,112,80,27,0.5
24,55.747932465747,12.557460218667984,60.46,2.781,13.8,109,80,27,0.5
29,55.74803028255701,12.557459296658635,71.43,2.734,13.4,112,80,27,0.0
37,55.74821351096034,12.557415626943111,91.62,2.687,14.2,115,80,27,0.0
38,55.748239662498236,12.557414704933763,94.53,2.687,14.2,116,80,27,0.0
45,55.74842205271125,12.557467678561807,115.13,2.706,13.8,117,81,26,0.5
46,55.748444348573685,12.557470109313726,117.61,2.715,13.8,117,81,26,0.0
51,55.748573429882526,12.557502295821905,132.08,2.715,14.0,117,81,26,0.5
55,55.74867216870189,12.5575284473598,143.13,2.715,13.8,120,81,26,0.5
57,55.748730171471834,12.557548228651285,149.64,2.715,13.8,117,81,26,0.5
58,55.748750204220414,12.557556023821235,151.91,2.715,13.8,118,81,26,0.5
66,55.74895363301039,12.557586533948779,174.65,2.743,13.6,119,81,26,0.5
71,55.749072236940265,12.557617295533419,187.96,2.753,13.4,121,81,26,0.0
75,55.74916938319802,12.557617463171482,198.77,2.753,13.2,123,81,26,0.0
80,55.74929611757398,12.557643363252282,212.96,2.753,12.6,126,81,26,0.0
82,55.74934213422239,12.557631377130747,218.34,2.753,12.6,126,80,26,0.5
83,55.74936074204743,12.55763347260654,220.38,2.753,12.4,127,80,26,0.0
90,55.749541791155934,12.557664318010211,240.64,2.753,12.8,126,80,26,0.0
91,55.74956509284675,12.557667754590511,243.24,2.753,12.8,126,81,26,0.0
98,55.74974538758397,12.557684518396854,263.36,2.762,12.6,128,81,25,0.5
101,55.749829206615686,12.557696588337421,272.72,2.762,12.4,127,82,25,0.5
106,55.749939596280456,12.557709161192179,288.11,2.762,12.2,128,81,25,0.5
139,55.75002090074122,12.557784095406532,288.11,0.0,11.6,113,0,25,0.0
140,55.75002098456025,12.557784346863627,288.13,0.0,11.6,112,0,25,0.0
144,55.75007404200733,12.557797925546765,294.08,1.008,11.8,109,82,25,0.0
150,55.75023430399597,12.55778443068266,315.18,2.715,12.0,110,80,25,0.5
151,55.75026322156191,12.557780826464295,315.18,2.762,12.2,111,80,25,0.5
159,55.75044695287943,12.557768672704697,335.65,2.762,12.0,111,80,25,0.0
160,55.750471260398626,12.557768588885665,338.35,2.753,12.0,111,81,25,0.0
168,55.75065365061164,12.557806810364127,358.79,2.687,11.8,114,80,25,0.0
170,55.750705786049366,12.557817455381155,364.62,2.678,11.6,114,80,25,0.0
172,55.750753143802285,12.557822903618217,372.43,2.678,11.6,115,80,25,0.0
180,55.75093016959727,12.557859951630235,389.73,2.687,11.8,118,80,25,0.5
181,55.75097509659827,12.557871602475643,394.77,2.687,11.8,117,79,25,0.5
189,55.751163521781564,12.55789632909,415.81,2.659,12.0,118,80,25,0.0
190,55.75118883512914,12.557900017127395,418.64,2.659,12.0,118,80,25,0.0
198,55.751380026340485,12.55793304182589,440.04,2.659,11.8,115,80,25,0.0
200,55.751425456255674,12.557944189757109,445.15,2.659,11.8,117,80,25,0.0
202,55.75147205963731,12.557949302718043,450.34,2.65,11.8,120,80,25,0.0
205,55.751537941396236,12.557946033775806,457.63,2.641,11.8,123,80,25,0.0
207,55.751583371311426,12.55794184282422,462.67,2.641,12.0,126,81,25,0.0
209,55.751635590568185,12.55795307457447,468.53,2.641,12.0,125,81,25,0.0
214,55.75175469741225,12.55796816200018,481.86,2.631,12.0,128,81,25,0.0
220,55.75188587419689,12.557972269132733,496.65,2.613,12.0,130,81,25,0.0
224,55.751988887786865,12.558003282174468,508.22,2.613,12.2,134,81,24,0.5
231,55.7521578669548,12.55802532657981,527.09,2.613,12.2,132,81,25,0.0
239,55.752358278259635,12.558020548895001,549.49,2.631,12.0,134,81,24,0.0
241,55.75238375924528,12.558015519753098,552.34,2.641,12.0,136,81,24,0.0
244,55.75245902873576,12.558020632714033,560.74,2.65,12.0,139,81,24,0.5
249,55.752611830830574,12.55805960856378,577.95,2.659,12.0,143,81,24,0.0
254,55.752734960988164,12.558077545836568,591.7,2.678,12.2,146,81,24,0.0
259,55.75286965817213,12.558090621605515,606.72,2.678,12.2,147,80,24,0.0
265,55.75300544500351,12.558111157268286,624.45,2.687,12.6,145,81,24,0.0
268,55.7531042676419,12.55811425857246,632.89,2.697,12.6,144,81,24,0.0
276,55.75330886989832,12.55814460106194,655.75,2.706,12.6,140,81,24,0.0
279,55.75337793678045,12.55815683864057,663.48,2.715,12.6,142,82,24,0.0
286,55.75353669002652,12.55818223580718,681.21,2.706,13.0,141,81,24,0.5
289,55.753596033900976,12.558191204443574,687.84,2.706,13.0,140,81,24,0.5
294,55.753717655315995,12.558203861117363,701.4,2.687,13.4,137,79,24,0.5
296,55.75375948101282,12.558219535276294,706.16,2.687,13.6,140,79,24,0.0
298,55.75381119735539,12.558239484205842,712.06,2.678,13.8,140,80,24,0.0
305,55.75398629531264,12.558249877765775,731.56,2.687,14.2,143,81,24,0.0
308,55.754043543711305,12.558248871937394,737.88,2.687,14.4,142,82,24,0.0
310,55.75408285483718,12.558226911351085,742.34,2.678,14.6,142,81,24,0.0
314,55.75416734442115,12.558158598840237,751.96,2.659,15.0,145,81,24,0.5
316,55.75421537272632,12.558179134503007,757.38,2.65,15.2,145,81,24,0.5
324,55.75440161861479,12.558214589953423,778.21,2.631,15.8,147,81,24,0.5
325,55.75442508794367,12.55822422914207,780.88,2.631,15.8,147,82,24,0.5
332,55.754588870331645,12.558276867493987,799.42,2.622,16.2,149,83,24,0.5
340,55.75478265993297,12.558273011818528,821.0,2.622,16.8,151,81,24,0.0
341,55.75480738654733,12.558276699855924,823.76,2.622,16.8,151,81,24,0.5
347,55.75496178120375,12.55831852555275,841.16,2.631,17.0,153,81,24,0.5
351,55.755063369870186,12.558347107842565,852.64,2.631,17.4,150,81,24,0.5
357,55.755206448957324,12.558369236066937,868.68,2.631,17.4,151,81,24,0.5
361,55.75531189329922,12.55836638621986,880.39,2.631,17.6,150,80,23,0.0
363,55.75535732321441,12.55835372954607,885.49,2.641,17.8,149,80,23,0.0
366,55.75542815029621,12.558303270488977,893.2,2.641,17.8,148,81,24,0.0
373,55.7556136418134,12.558302264660597,913.83,2.659,18.0,147,82,23,0.0
377,55.75570969842374,12.558341072872281,924.59,2.678,18.0,147,82,24,0.0
383,55.75586400926113,12.55837275646627,941.87,2.697,17.6,144,82,23,0.0
386,55.755937434732914,12.558372840285301,949.99,2.706,17.8,146,81,23,0.5
392,55.75609208084643,12.558382228016853,967.12,2.725,17.8,149,81,23,0.5
395,55.756170535460114,12.558429837226868,976.25,2.734,17.8,147,81,23,0.5
398,55.756244799122214,12.558445679023862,984.63,2.743,18.0,144,81,23,0.0
401,55.75632090680301,12.558447774499655,993.1,2.753,18.0,145,81,23,0.0
404,55.756387542933226,12.558446433395147,1000.52,2.753,18.0,147,82,23,0.5
410,55.756528694182634,12.558470405638218,1016.37,2.753,17.6,146,82,23,0.5
417,55.756690967828035,12.558514326810837,1034.55,2.743,17.8,146,81,23,0.0
424,55.75687017291784,12.558547519147396,1054.64,2.743,18.0,145,80,23,0.0
428,55.756960613653064,12.558550955727696,1064.7,2.753,18.0,146,81,23,0.0
432,55.757053066045046,12.558539723977447,1074.94,2.753,17.8,146,81,23,0.0
439,55.75722916983068,12.55859311670065,1094.75,2.743,18.0,145,81,23,0.0
447,55.757425306364894,12.558597810566425,1116.66,2.753,17.8,146,81,23,0.0
449,55.75747551396489,12.55860828794539,1122.29,2.753,17.8,146,81,23,0.0
457,55.75766989029944,12.558664698153734,1144.39,2.771,18.0,147,82,23,0.0
462,55.75774851255119,12.558849435299635,1159.01,2.781,18.0,145,81,23,0.0
468,55.75786435045302,12.55902604199946,1176.07,2.79,18.4,142,81,23,0.0
470,55.75790701434016,12.559069627895951,1181.55,2.79,18.4,141,82,23,0.0
473,55.75798496603966,12.559115728363395,1190.77,2.79,18.4,138,80,23,0.0
476,55.75806392356753,12.559108436107635,1199.58,2.799,18.4,137,81,23,0.0
483,55.758246313780546,12.55896158516407,1222.05,2.837,18.4,138,82,23,0.5
489,55.75834706425667,12.558723036199808,1240.82,2.865,18.2,141,82,23,0.0
494,55.75842920690775,12.558540478348732,1255.91,2.893,17.8,141,82,23,0.0
495,55.7584557775408,12.5585300847888,1258.93,2.893,17.6,141,81,23,0.5
502,55.75864470563829,12.558526312932372,1279.97,2.921,17.0,142,81,23,0.0
503,55.758673371747136,12.558512315154076,1283.25,2.921,16.8,143,81,23,0.0
505,55.75872726738453,12.558494713157415,1289.31,2.93,16.8,142,81,23,0.0
508,55.75880060903728,12.558497479185462,1297.47,2.948,16.6,145,82,23,0.0
512,55.75890965759754,12.558524301275611,1309.65,2.967,16.4,146,82,23,0.5
514,55.75895600952208,12.558524468913674,1314.82,2.967,16.0,143,82,23,0.0
517,55.759038822725415,12.558528492227197,1324.04,2.976,15.8,145,81,23,0.5
522,55.75916069559753,12.558526312932372,1337.62,2.986,15.6,148,82,23,0.0
523,55.7591933850199,12.558529330417514,1341.27,2.986,15.6,148,82,23,0.0
530,55.75936839915812,12.558536371216178,1360.75,2.986,15.4,145,81,23,0.5
533,55.759456157684326,12.558539807796478,1370.52,2.986,15.4,145,82,23,0.0
541,55.7596405595541,12.558530420064926,1391.05,2.976,15.6,143,81,23,0.0
544,55.75971809215844,12.558529917150736,1399.7,2.958,15.4,146,81,23,0.5
545,55.75974466279149,12.558537377044559,1402.68,2.958,15.4,146,80,22,0.0
547,55.75980115681887,12.558547519147396,1409.0,2.948,15.6,150,80,23,0.0
548,55.75981825590134,12.558554643765092,1410.94,2.948,15.6,147,81,23,0.0
555,55.75999670661986,12.558560343459249,1430.82,2.921,15.6,149,80,22,0.0
562,55.76016836799681,12.558556403964758,1449.86,2.902,15.8,152,82,22,0.0
567,55.76028261333704,12.558564199134707,1462.58,2.893,16.0,151,82,22,0.0
575,55.76047170907259,12.558594541624188,1483.72,2.874,16.0,151,82,22,0.0
577,55.76052401214838,12.558595463633537,1489.53,2.874,16.0,150,82,22,0.0
585,55.760725010186434,12.558581633493304,1511.94,2.855,16.2,151,81,22,0.0
592,55.760905891656876,12.558626141399145,1532.24,2.846,16.4,149,81,22,0.0
595,55.76097881421447,12.558618430048227,1540.35,2.846,16.4,148,81,22,0.0
603,55.761160952970386,12.558632511645555,1560.72,2.827,16.6,149,81,22,0.5
609,55.76130545698106,12.558627901598811,1576.85,2.799,16.6,152,80,22,0.0
611,55.761348037049174,12.558622704818845,1581.6,2.799,16.6,153,81,22,0.5
615,55.76144618913531,12.558615412563086,1592.55,2.79,16.8,154,79,22,0.0
619,55.7615502923727,12.55863611586392,1604.19,2.781,17.0,158,80,22,0.0
620,55.76157342642546,12.55863955244422,1606.78,2.771,17.2,166,80,22,0.5
621,55.76159647665918,12.558647515252233,1609.38,2.771,17.2,170,79,22,0.0
624,55.76167015358806,12.558668721467257,1617.66,2.771,17.2,173,79,22,0.0
630,55.76180820353329,12.558646760880947,1633.13,2.762,17.2,173,81,22,0.0
636,55.761940302327275,12.558670733124018,1647.98,2.734,17.2,174,81,22,0.0
643,55.76212001033127,12.558698393404484,1668.08,2.715,17.6,176,81,22,0.0
644,55.76214758679271,12.558700237423182,1671.14,2.715,17.4,177,81,22,0.0
652,55.76234900392592,12.558743990957737,1693.78,2.734,17.2,175,81,22,0.0
660,55.762533489614725,12.558778775855899,1714.44,2.734,17.8,174,81,22,0.0
665,55.76264941133559,12.558804508298635,1727.47,2.715,17.8,173,81,22,0.0
667,55.7626972720027,12.558814063668251,1732.83,2.706,17.8,173,81,22,0.0
675,55.76289592310786,12.558834096416831,1755.01,2.687,18.2,174,80,22,0.0
678,55.762970773503184,12.558836443349719,1763.34,2.687,18.0,173,80,22,0.0
686,55.7631669100374,12.558847758919,1785.19,2.687,18.4,173,79,22,0.5
688,55.76321829110384,12.558852536603808,1790.92,2.687,18.2,172,79,22,0.0
696,55.7634034473449,12.558882040902972,1811.61,2.678,18.0,171,79,22,0.0
699,55.763471592217684,12.558889836072922,1819.22,2.669,17.8,171,80,22,0.5
707,55.763653479516506,12.55888539366424,1839.41,2.641,17.4,169,80,22,0.0
713,55.76381038874388,12.558911377564073,1857.08,2.622,17.6,172,81,22,0.0
715,55.763857662677765,12.558915317058563,1862.34,2.622,17.6,175,82,22,0.0
716,55.7638818025589,12.558917831629515,1865.03,2.622,17.6,175,82,22,0.5
724,55.764067713171244,12.558940127491951,1885.79,2.631,18.0,177,82,22,0.0
725,55.7640871591866,12.558942893519998,1887.96,2.631,18.0,178,82,22,0.0
733,55.764267621561885,12.558953119441867,1908.13,2.613,18.2,175,82,21,0.0
737,55.76437147334218,12.558955634012818,1919.69,2.603,18.6,176,82,22,0.5
743,55.76452922075987,12.559004249051213,1937.53,2.613,19.0,175,83,22,0.0
745,55.76458361931145,12.558998465538025,1943.63,2.622,19.2,176,83,21,0.5
746,55.764606669545174,12.559003997594118,1946.21,2.622,19.2,176,83,22,0.5
